band,species,year,beak length (mm),beak depth (mm)
20123,fortis,1973,9.25,8.05
20126,fortis,1973,11.35,10.45
20128,fortis,1973,10.15,9.55
20129,fortis,1973,9.95,8.75
20133,fortis,1973,11.55,10.15
20136,fortis,1973,11.15,9.85
20138,fortis,1973,10.05,8.85
20142,fortis,1973,11.25,10.15
20143,fortis,1973,9.15,8.15
20146,fortis,1973,9.25,8.55
20149,fortis,1973,11.75,10.65
20150,fortis,1973,9.05,8.05
20152,fortis,1973,11.15,9.75
20155,fortis,1973,11.25,10.15
20156,fortis,1973,10.45,9.85
20157,fortis,1973,10.65,9.75
20163,fortis,1973,10.05,8.35
20164,fortis,1973,10.45,8.55
20169,fortis,1973,11.45,10.25
20172,fortis,1973,11.15,9.35
20174,fortis,1973,10.95,10.15
20176,fortis,1973,9.55,8.55
20177,fortis,1973,10.65,8.85
20178,fortis,1973,10.05,9.85
20181,fortis,1973,11.25,10.75
20183,fortis,1973,10.85,9.85
20203,fortis,1973,10.05,8.45
20206,fortis,1973,11.95,10.55
20211,fortis,1973,9.85,8.35
20215,fortis,1973,9.35,8.25
20217,fortis,1973,12.05,10.95
20218,fortis,1973,10.35,9.15
20219,fortis,1973,10.65,8.85
20221,fortis,1973,10.95,10.05
20229,fortis,1973,10.25,9.55
20230,fortis,1973,12.65,12.15
20233,fortis,1973,10.65,9.55
20235,fortis,1973,10.75,9.75
20239,fortis,1973,10.15,9.25
20243,fortis,1973,10.25,9.05
20244,fortis,1973,10.35,8.45
20246,fortis,1973,10.55,9.55
20247,fortis,1973,10.95,9.95
20249,fortis,1973,11.65,10.65
20250,fortis,1973,9.85,7.95
20253,fortis,1973,11.15,10.65
20256,fortis,1973,10.05,9.15
20258,fortis,1973,11.15,10.05
20263,fortis,1973,10.95,9.75
20268,fortis,1973,11.05,10.05
20269,fortis,1973,10.65,9.65
20271,fortis,1973,10.85,9.45
20272,fortis,1973,11.05,10.75
20275,fortis,1973,11.05,9.85
20276,fortis,1973,11.55,11.15
20277,fortis,1973,11.25,10.85
20278,fortis,1973,10.25,8.55
20282,fortis,1973,11.05,10.25
20292,fortis,1973,9.95,8.35
20296,fortis,1973,10.65,9.15
20299,fortis,1973,9.95,9.35
20301,fortis,1973,11.05,10.15
20302,fortis,1973,10.75,9.75
20306,fortis,1973,11.75,10.75
20307,fortis,1973,10.25,9.35
20308,fortis,1973,9.45,8.65
20309,fortis,1973,11.85,10.35
20310,fortis,1973,10.95,10.55
20313,fortis,1973,10.35,9.45
20317,fortis,1973,10.15,8.85
20318,fortis,1973,10.45,9.45
20320,fortis,1973,11.35,9.85
20324,fortis,1973,9.85,9.15
20121,scandens,1973,15.15,9.35
20125,scandens,1973,15.05,9.75
20135,scandens,1973,14.45,8.35
20159,scandens,1973,14.05,9.55
20160,scandens,1973,14.25,8.55
20175,scandens,1973,14.65,9.85
20182,scandens,1973,15.45,10.65
20187,scandens,1973,15.15,9.55
20200,scandens,1973,14.95,9.85
20207,scandens,1973,13.65,9.75
20220,scandens,1973,14.65,7.95
20224,scandens,1973,15.65,9.95
20245,scandens,1973,14.05,9.55
20254,scandens,1973,13.85,9.15
20259,scandens,1973,14.95,10.45
20274,scandens,1973,13.15,9.15
2,fortis,1975,9.4,8.0
9,fortis,1975,9.2,8.3
12,fortis,1975,9.5,7.5
15,fortis,1975,9.5,8.0
305,fortis,1975,11.5,9.9
307,fortis,1975,11.1,8.6
308,fortis,1975,9.9,8.4
309,fortis,1975,11.5,9.8
311,fortis,1975,10.8,9.2
312,fortis,1975,11.3,9.0
313,fortis,1975,11.5,9.5
314,fortis,1975,11.5,8.9
315,fortis,1975,9.7,8.8
316,fortis,1975,10.9,9.7
320,fortis,1975,10.1,8.9
321,fortis,1975,10.6,8.5
323,fortis,1975,9.6,8.2
324,fortis,1975,10.3,9.3
326,fortis,1975,10.5,9.1
328,fortis,1975,10.5,8.8
329,fortis,1975,10.9,9.4
330,fortis,1975,11.2,9.6
340,fortis,1975,9.4,8.5
341,fortis,1975,10.1,8.1
342,fortis,1975,9.6,8.0
343,fortis,1975,10.5,9.7
344,fortis,1975,9.9,8.2
345,fortis,1975,9.9,8.4
346,fortis,1975,9.6,7.9
347,fortis,1975,10.7,9.3
348,fortis,1975,11.8,10.5
349,fortis,1975,10.2,9.7
350,fortis,1975,10.9,9.6
352,fortis,1975,9.3,7.7
354,fortis,1975,11.6,9.8
355,fortis,1975,11.2,9.8
356,fortis,1975,10.1,8.5
360,fortis,1975,10.7,9.2
366,fortis,1975,11.0,10.1
368,fortis,1975,10.8,9.0
369,fortis,1975,10.2,9.0
401,fortis,1975,10.8,9.4
402,fortis,1975,10.4,8.8
403,fortis,1975,11.2,9.9
405,fortis,1975,11.4,9.9
410,fortis,1975,10.9,8.9
411,fortis,1975,10.4,9.4
413,fortis,1975,9.7,8.2
414,fortis,1975,10.2,8.2
415,fortis,1975,9.2,8.1
416,fortis,1975,10.1,8.4
417,fortis,1975,11.0,10.1
418,fortis,1975,10.3,8.6
419,fortis,1975,10.2,8.5
420,fortis,1975,11.0,9.7
422,fortis,1975,11.0,10.3
423,fortis,1975,10.1,8.6
424,fortis,1975,10.7,9.3
425,fortis,1975,10.7,8.9
426,fortis,1975,11.0,9.7
427,fortis,1975,12.0,10.2
428,fortis,1975,11.6,10.2
450,fortis,1975,9.9,8.5
451,fortis,1975,10.8,8.8
452,fortis,1975,10.5,8.9
453,fortis,1975,10.0,8.7
454,fortis,1975,9.6,9.3
455,fortis,1975,11.0,9.7
456,fortis,1975,10.2,9.6
457,fortis,1975,9.7,7.85
458,fortis,1975,11.1,9.6
459,fortis,1975,10.4,9.3
461,fortis,1975,11.1,9.8
462,fortis,1975,10.2,8.8
463,fortis,1975,10.3,9.1
465,fortis,1975,9.9,9.0
466,fortis,1975,11.0,10.4
468,fortis,1975,10.8,9.0
473,fortis,1975,10.5,9.5
474,fortis,1975,10.5,8.7
475,fortis,1975,11.2,9.6
476,fortis,1975,11.2,9.4
477,fortis,1975,11.7,9.5
479,fortis,1975,10.5,8.6
501,fortis,1975,10.5,9.9
502,fortis,1975,11.2,9.4
503,fortis,1975,10.0,9.1
504,fortis,1975,10.4,8.6
505,fortis,1975,10.8,9.3
506,fortis,1975,11.1,9.2
507,fortis,1975,10.3,8.8
509,fortis,1975,11.1,9.2
510,fortis,1975,9.8,8.3
511,fortis,1975,10.5,8.8
512,fortis,1975,11.0,9.4
513,fortis,1975,11.2,10.4
514,fortis,1975,9.8,8.5
515,fortis,1975,9.8,7.9
516,fortis,1975,9.8,7.9
517,fortis,1975,10.3,10.1
518,fortis,1975,11.3,9.8
519,fortis,1975,10.0,8.3
520,fortis,1975,11.1,9.4
521,fortis,1975,10.0,9.0
522,fortis,1975,10.3,8.4
524,fortis,1975,10.2,8.7
526,fortis,1975,10.4,9.2
527,fortis,1975,11.0,9.5
528,fortis,1975,11.5,10.1
529,fortis,1975,11.8,9.8
560,fortis,1975,10.2,8.5
561,fortis,1975,11.7,10.2
563,fortis,1975,10.1,8.6
564,fortis,1975,10.2,9.3
565,fortis,1975,9.8,8.7
566,fortis,1975,10.6,8.9
567,fortis,1975,10.0,8.4
572,fortis,1975,12.1,10.3
574,fortis,1975,11.1,9.9
576,fortis,1975,10.5,8.9
578,fortis,1975,10.0,9.1
579,fortis,1975,10.2,8.6
601,fortis,1975,9.7,7.8
602,fortis,1975,10.0,8.6
603,fortis,1975,10.7,9.5
604,fortis,1975,11.0,9.5
605,fortis,1975,10.9,10.2
606,fortis,1975,10.5,9.1
607,fortis,1975,10.9,9.7
608,fortis,1975,10.7,9.4
609,fortis,1975,11.9,10.5
610,fortis,1975,10.2,9.0
611,fortis,1975,10.5,9.8
615,fortis,1975,11.2,10.0
616,fortis,1975,10.7,9.6
617,fortis,1975,10.3,9.6
618,fortis,1975,11.6,9.9
619,fortis,1975,10.5,9.3
620,fortis,1975,10.9,9.6
621,fortis,1975,9.8,7.6
622,fortis,1975,10.9,9.2
623,fortis,1975,10.3,8.8
624,fortis,1975,11.7,10.1
625,fortis,1975,11.0,8.9
626,fortis,1975,9.8,9.5
627,fortis,1975,10.4,8.2
628,fortis,1975,10.8,9.7
629,fortis,1975,11.0,9.8
670,fortis,1975,10.6,9.3
671,fortis,1975,11.3,9.8
672,fortis,1975,10.1,8.8
673,fortis,1975,11.4,10.1
674,fortis,1975,11.8,10.5
675,fortis,1975,9.9,8.6
676,fortis,1975,11.0,9.7
677,fortis,1975,10.8,10.0
678,fortis,1975,11.3,9.7
